time,rms,temp
08:00:00,1.530,29.50
08:00:05,1.561,29.51
08:00:10,1.591,29.52
08:00:15,1.621,29.53
08:00:20,1.651,29.54
08:00:25,1.680,29.55
08:00:30,1.708,29.56
08:00:35,1.736,29.57
08:00:40,1.763,29.58
08:00:45,1.789,29.59
08:00:50,1.815,29.60
08:00:55,1.839,29.61
08:01:00,1.862,29.62
08:01:05,1.884,29.63
08:01:10,1.905,29.64
08:01:15,1.924,29.65
08:01:20,1.942,29.66
08:01:25,1.959,29.67
08:01:30,1.974,29.68
08:01:35,1.988,29.69
08:01:40,2.000,29.70
08:01:45,2.010,29.71
08:01:50,2.019,29.72
08:01:55,2.026,29.73
08:02:00,2.031,29.73
08:02:05,2.034,29.74
08:02:10,2.036,29.75
08:02:15,2.036,29.76
08:02:20,2.034,29.77
08:02:25,2.031,29.78
08:02:30,2.025,29.79
08:02:35,2.018,29.80
08:02:40,2.009,29.81
08:02:45,1.998,29.82
08:02:50,1.985,29.83
08:02:55,1.971,29.84
08:03:00,1.955,29.85
08:03:05,1.938,29.86
08:03:10,1.918,29.87
08:03:15,1.898,29.88
08:03:20,1.876,29.89
08:03:25,1.852,29.90
08:03:30,1.827,29.90
08:03:35,1.801,29.91
08:03:40,1.773,29.92
08:03:45,1.744,29.93
08:03:50,1.715,29.94
08:03:55,1.684,29.95
08:04:00,1.652,29.96
08:04:05,1.619,29.97
08:04:10,1.586,29.98
08:04:15,1.552,29.99
08:04:20,1.518,29.99
08:04:25,1.483,30.00
08:04:30,1.447,30.01
08:04:35,1.411,30.02
08:04:40,1.375,30.03
08:04:45,1.339,30.04
08:04:50,1.303,30.05
08:04:55,1.268,30.05
08:05:00,1.232,30.06
08:05:05,1.196,30.07
08:05:10,1.161,30.08
08:05:15,1.127,30.09
08:05:20,1.093,30.10
08:05:25,1.059,30.10
08:05:30,1.027,30.11
08:05:35,0.995,30.12
08:05:40,0.964,30.13
08:05:45,0.934,30.14
08:05:50,0.905,30.15
08:05:55,0.878,30.15
08:06:00,0.851,30.16
08:06:05,0.826,30.17
08:06:10,0.802,30.18
08:06:15,0.780,30.18
08:06:20,0.759,30.19
08:06:25,0.739,30.20
08:06:30,0.721,30.21
08:06:35,0.705,30.21
08:06:40,0.690,30.22
08:06:45,0.677,30.23
08:06:50,0.666,30.24
08:06:55,0.656,30.24
08:07:00,0.648,30.25
08:07:05,0.642,30.26
08:07:10,0.637,30.27
08:07:15,0.634,30.27
08:07:20,0.633,30.28
08:07:25,0.634,30.29
08:07:30,0.636,30.29
08:07:35,0.640,30.30
08:07:40,0.646,30.31
08:07:45,0.653,30.31
08:07:50,0.662,30.32
08:07:55,0.672,30.33
08:08:00,0.684,30.33
08:08:05,0.697,30.34
08:08:10,0.712,30.35
08:08:15,0.728,30.35
08:08:20,0.745,30.36
08:08:25,0.764,30.36
08:08:30,0.783,30.37
08:08:35,0.804,30.38
08:08:40,0.825,30.38
08:08:45,0.848,30.39
08:08:50,0.871,30.39
08:08:55,0.895,30.40
08:09:00,0.920,30.40
08:09:05,0.945,30.41
08:09:10,0.971,30.42
08:09:15,0.997,30.42
08:09:20,1.023,30.43
08:09:25,1.050,30.43
08:09:30,1.077,30.44
08:09:35,1.103,30.44
08:09:40,1.130,30.45
08:09:45,1.156,30.45
08:09:50,1.182,30.46
08:09:55,1.208,30.46
08:10:00,1.234,30.47
08:10:05,1.259,30.47
08:10:10,1.283,30.48
08:10:15,1.306,30.48
08:10:20,1.329,30.49
08:10:25,1.351,30.49
08:10:30,1.372,30.49
08:10:35,1.392,30.50
08:10:40,1.411,30.50
08:10:45,1.429,30.51
08:10:50,1.445,30.51
08:10:55,1.460,30.52
08:11:00,1.474,30.52
08:11:05,1.487,30.52
08:11:10,1.498,30.53
08:11:15,1.508,30.53
08:11:20,1.516,30.53
08:11:25,1.523,30.54
08:11:30,1.529,30.54
08:11:35,1.532,30.54
08:11:40,1.535,30.55
08:11:45,1.535,30.55
08:11:50,1.534,30.55
08:11:55,1.532,30.56
08:12:00,1.528,30.56
08:12:05,1.522,30.56
08:12:10,1.515,30.57
08:12:15,1.507,30.57
08:12:20,1.496,30.57
08:12:25,1.485,30.57
08:12:30,1.472,30.58
08:12:35,1.457,30.58
08:12:40,1.442,30.58
08:12:45,1.425,30.58
08:12:50,1.407,30.59
08:12:55,1.387,30.59
08:13:00,1.367,30.59
08:13:05,1.345,30.59
08:13:10,1.323,30.60
08:13:15,1.299,30.60
08:13:20,1.275,30.60
08:13:25,1.250,30.60
08:13:30,1.224,30.60
08:13:35,1.198,30.60
08:13:40,1.171,30.61
08:13:45,1.144,30.61
08:13:50,1.117,30.61
08:13:55,1.089,30.61
08:14:00,1.061,30.61
08:14:05,1.033,30.61
08:14:10,1.006,30.61
08:14:15,0.978,30.61
08:14:20,0.950,30.62
08:14:25,0.923,30.62
08:14:30,0.897,30.62
08:14:35,0.871,30.62
